Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
24456211,Black Milk,Robert Reed,"Reed, Robert",,"=""""","=""""",5,3.61,Diversion Books,Kindle Edition,334,2014,,,2024/09/14,,,read,,,,1,0
24376507,Beneath the Gated Sky (Veil of Stars #2),Robert Reed,"Reed, Robert",,"=""""","=""""",5,3.69,Diversion Books,Kindle Edition,384,2014,1997,,2024/09/14,,,read,,,,1,0
23965631,Beyond the Veil of Stars (Veil of Stars #1),Robert Reed,"Reed, Robert",,"=""""","=""""",5,3.73,Diversion Books,Kindle Edition,318,2014,1994,,2024/09/14,,,read,,,,1,0
13504505,Aurora: CV-01 (The Frontiers Saga #1),Ryk Brown,"Brown, Ryk",,"=""""","=""""",5,4.07,Ryk Brown,Kindle Edition,301,2011,2011,,2024/09/14,,,read,,,,1,0
18068078,The Lowest Heaven,Anne C. Perry,"Perry, Anne C.",,"=""0957169655""","=""9780957169654""",5,3.80,Jurassic London,Kindle Edition,333,2013,2013,,2024/09/14,,,read,,,,1,0
22386663,Reach for Infinity,Jonathan Strahan,"Strahan, Jonathan",,"=""1849976759""","=""9781849976756""",4,3.69,Solaris,Kindle Edition,384,2014,2014,,2024/09/14,,,read,,,,1,0
23209328,"The Greatship (Great Ship, #3)",Robert Reed,"Reed, Robert",,"=""""","=""""",5,4.12,Argo-Navis,Kindle Edition,636,2013,2013,,2024/09/14,,,read,,,,1,0
19406553,"The Well of Stars (Great Ship, #2)",Robert Reed,"Reed, Robert",,"=""""","=""""",5,3.83,Tor Books,Kindle Edition,454,2007,2004,,2024/09/14,,,read,,,,1,0
19331042,"Marrow (Great Ship, #1)",Robert Reed,"Reed, Robert",,"=""""","=""""",5,3.85,Tor Books,Kindle Edition,514,2013,2000,,2024/09/14,,,read,,,,1,0
23849166,Altered States: a cyberpunk sci-fi anthology (Altered States cyberpunk anthologies Book 1),Roy C. Booth,"Booth, Roy C.","Jorge Salgado-Reyes, C.J. Cherryh, John Shirley, Paul Levinson, William F. Wu, Malon Edwards, Cynthia Ward, Terry Faust","=""095711303X""","=""9780957113039""",5,3.58,Indie Authors Press,Kindle Edition,280,2014,2014,,2024/09/14,,,read,,,,1,0
18043147,"Homeworld (Odyssey One, #3)",Evan Currie,"Currie, Evan",,"=""1477858830""","=""9781477858837""",5,4.30,47North,Kindle Edition,507,2013,2013,,2024/09/14,,,read,,,,1,0
27788243,Nominal Meat (Science Fiction Stories Book 2),James Aston,"Aston, James",,"=""""","=""""",5,0.0,,Kindle Edition,32,2014,,,2024/09/14,,,read,,,,1,0
29550447,Deep Time (Science Fiction Stories Book 1),James Aston,"Aston, James",,"=""""","=""""",5,0.0,,Kindle Edition,26,2014,,,2024/09/14,,,read,,,,1,0
18631,Feersum Endjinn: A Novel,Iain M. Banks,"Banks, Iain M.",,"=""0553374591""","=""9780553374599""",5,3.84,Spectra/Bantam Books (NYC),Paperback,311,1995,1994,,2024/09/14,,,read,,,,1,0
2356574,Inversions (Culture),Iain M. Banks,"Banks, Iain M.",,"=""1416583785""","=""9781416583783""",5,3.95,Pocket Books/Simon & Schuster (NYC),Paperback,352,2007,1998,,2024/09/14,,,read,,,,1,0
1020171,The Edge of Tomorrow,Isaac Asimov,"Asimov, Isaac",,"=""0312932006""","=""9780312932008""",5,3.99,Tor Books,Hardcover,462,1985,1985,,2024/09/14,,,read,,,,1,0
126315208,Transition,Iain M. Banks,"Banks, Iain M.",,"=""""","=""""",5,3.87,Orbit,Hardcover,416,2009,2009,,2024/09/14,,,read,,,,1,0
14365754,An Introduction to Languages and Machines,Martin C. Carlisle,"Carlisle, Martin C.",,"=""1442172401""","=""9781442172401""",5,3.00,Createspace Independent Pub,Paperback,126,2009,2009,,2024/09/14,,,read,,,,1,0
2252921,The Theory and Practice of Compiler Writing (McGraw-Hill Series in Computer Organization and Architecture),Jean-Paul Tremblay,"Tremblay, Jean-Paul",Paul G. Sorenson,"=""0070651612""","=""9780070651616""",5,3.00,Mcgraw-Hill,Hardcover,816,1985,1985,,2024/09/14,,,read,,,,1,0
13020489,"x86 Disassembly: Exploring the relationship between C, x86 Assembly, and Machine Code",Wikibooks contributors,"contributors, Wikibooks",,"=""1466346051""","=""9781466346055""",5,3.83,CreateSpace Independent Publishing Platform,Paperback,191,2011,2011,,2024/09/14,,,read,,,,1,0
4899988,Btrieve Complete: A Guide for Developers and System Administrators,Jim Kyle,"Kyle, Jim",,"=""0201483262""","=""9780201483260""",5,3.00,Addison-Wesley Professional,Paperback,528,1995,1995,,2024/09/14,,,read,,,,1,0
16233193,Dining with the Doctor: The Unauthorized Whovian Cookbook,Chris-Rachael Oseland,"Oseland, Chris-Rachael",,"=""""","=""""",5,3.68,Kitchen Overlord,Kindle Edition,103,2012,2012,,2024/09/14,,,read,,,,1,0
41793331,Infinity Engine: Transformation Book Three (Transformations 3),Neal Asher,"Asher, Neal",,"=""""","=""""",5,4.39,Night Shade Books,Kindle Edition,490,2017,2017,,2024/09/14,,,read,,,,1,0
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",5,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,,2024/09/14,,,read,,,,1,0
43359357,Inbox Zero: How to Stop Checking Email and Start Finishing It,Ian Charnas,"Charnas, Ian",,"=""1732535205""","=""9781732535206""",5,0.0,Inbox Zero Solutions,Paperback,102,2018,,,2024/09/14,,,read,,,,1,0
6305619,"Use of Weapons (Culture, #3)",Iain M. Banks,"Banks, Iain M.",,"=""""","=""""",5,4.16,Orbit,Kindle Edition,352,2008,1990,,2024/09/14,,,read,,,,1,0
